,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Key,Y
2024,58.0,1.0,49.0,6.0,4.0,2.0,1654.0,1253.0,401.0,0.508,1887.0,60.0,0.5379999999999999,0.758,Existing Customer,M,Graduate,Married,$80K - $120K,Blue,2025,0.9998
2025,58.0,2.0,39.0,3.0,4.0,3.0,4608.0,1077.0,3531.0,0.6940000000000001,1535.0,31.0,0.632,0.23399999999999999,Existing Customer,F,Graduate,Married,Less than $40K,Blue,2026,0.9996299999999999
2026,37.0,3.0,36.0,6.0,4.0,1.0,3908.0,1629.0,2279.0,0.775,1903.0,30.0,0.5,0.41700000000000004,Existing Customer,M,Graduate,Married,$40K - $60K,Blue,2027,0.9998600000000001
2027,54.0,3.0,46.0,4.0,3.0,2.0,2798.0,1256.0,1542.0,1.1320000000000001,2631.0,55.0,0.774,0.449,Existing Customer,M,Graduate,Married,$80K - $120K,Blue,2028,0.9998100000000001
2028,45.0,3.0,39.0,5.0,4.0,1.0,2551.0,2253.0,298.0,0.688,3753.0,63.0,0.909,0.883,Existing Customer,F,Uneducated,Single,Less than $40K,Blue,2029,0.9998600000000001
2029,36.0,2.0,26.0,5.0,2.0,2.0,8621.0,1251.0,7370.0,0.696,1989.0,37.0,0.48,0.145,Existing Customer,F,Graduate,Married,Unknown,Blue,2030,0.99989
2030,53.0,3.0,43.0,6.0,4.0,2.0,7451.0,683.0,6768.0,0.924,2165.0,49.0,0.96,0.092,Existing Customer,M,Graduate,Married,$40K - $60K,Blue,2031,0.99977
2031,34.0,1.0,30.0,3.0,3.0,3.0,2617.0,1010.0,1607.0,0.659,2003.0,47.0,0.679,0.386,Existing Customer,F,College,Married,Less than $40K,Blue,2032,0.99972
2032,35.0,4.0,24.0,6.0,3.0,4.0,12634.0,0.0,12634.0,0.32299999999999995,717.0,18.0,0.28600000000000003,0.0,Attrited Customer,M,Graduate,Married,$80K - $120K,Blue,2033,0.00184351
2033,32.0,3.0,18.0,5.0,3.0,3.0,6407.0,963.0,5444.0,1.052,1921.0,43.0,0.72,0.15,Existing Customer,M,Graduate,Married,$40K - $60K,Blue,2034,0.99969
2034,38.0,2.0,27.0,6.0,2.0,4.0,1438.3,0.0,1438.3,0.945,2412.0,58.0,0.657,0.0,Existing Customer,M,Uneducated,Married,Less than $40K,Blue,2035,0.99966
2035,37.0,3.0,28.0,6.0,2.0,2.0,2672.0,1259.0,1413.0,1.375,2487.0,52.0,0.625,0.47100000000000003,Existing Customer,M,Uneducated,Married,$80K - $120K,Blue,2036,0.9998799999999999
2036,37.0,3.0,36.0,6.0,3.0,4.0,11948.0,1281.0,10667.0,1.159,2792.0,51.0,0.889,0.107,Existing Customer,F,High School,Married,Unknown,Blue,2037,0.9994799999999999
2037,47.0,2.0,36.0,3.0,3.0,3.0,2677.0,1390.0,1287.0,0.732,2170.0,63.0,0.465,0.519,Existing Customer,F,Graduate,Single,Less than $40K,Blue,2038,0.9997
2038,52.0,3.0,36.0,3.0,2.0,1.0,24703.0,1085.0,23618.0,0.998,4776.0,63.0,0.575,0.044000000000000004,Existing Customer,F,Doctorate,Single,Unknown,Blue,2039,0.9999
2039,54.0,3.0,43.0,6.0,3.0,4.0,2240.0,1580.0,660.0,0.745,1518.0,36.0,0.8,0.705,Existing Customer,M,High School,Married,$60K - $80K,Blue,2040,0.9994799999999999
2040,53.0,3.0,40.0,4.0,4.0,4.0,6052.0,1720.0,4332.0,0.6829999999999999,1476.0,37.0,0.423,0.284,Existing Customer,M,College,Married,$80K - $120K,Blue,2041,0.9993700000000001
2041,33.0,3.0,23.0,6.0,4.0,1.0,2562.0,1968.0,594.0,0.546,2256.0,70.0,0.591,0.768,Existing Customer,F,College,Single,Less than $40K,Blue,2042,0.99987
2042,49.0,2.0,43.0,4.0,4.0,4.0,15377.0,1516.0,13861.0,0.627,1848.0,49.0,1.042,0.099,Existing Customer,M,Graduate,Married,$60K - $80K,Blue,2043,0.9993799999999999
2043,37.0,0.0,22.0,3.0,3.0,4.0,8654.0,0.0,8654.0,0.446,850.0,18.0,0.385,0.0,Attrited Customer,M,Doctorate,Married,$120K +,Blue,2044,0.00155735
2044,31.0,1.0,24.0,5.0,2.0,3.0,1438.3,0.0,1438.3,0.665,2308.0,49.0,0.4,0.0,Existing Customer,M,Uneducated,Married,$40K - $60K,Blue,2045,0.99982
2045,43.0,3.0,31.0,3.0,3.0,3.0,1438.3,0.0,1438.3,0.6629999999999999,1867.0,45.0,0.875,0.0,Existing Customer,M,Graduate,Single,$120K +,Blue,2046,0.99969
2046,39.0,1.0,26.0,6.0,2.0,3.0,16040.0,1220.0,14820.0,0.862,1923.0,49.0,0.4,0.076,Existing Customer,M,Uneducated,Married,$80K - $120K,Blue,2047,0.99982
2047,38.0,2.0,36.0,3.0,3.0,1.0,2801.0,1980.0,821.0,0.882,1600.0,45.0,0.406,0.7070000000000001,Existing Customer,M,High School,Married,$40K - $60K,Blue,2048,0.99989
2048,62.0,1.0,49.0,5.0,4.0,2.0,2658.0,1158.0,1500.0,0.47600000000000003,1809.0,41.0,0.46399999999999997,0.436,Existing Customer,F,Uneducated,Married,Less than $40K,Blue,2049,0.99979
2049,58.0,1.0,48.0,3.0,3.0,2.0,12423.0,1910.0,10513.0,0.405,1208.0,38.0,0.35700000000000004,0.154,Existing Customer,F,Unknown,Married,$40K - $60K,Blue,2050,0.9998100000000001
2050,39.0,2.0,27.0,6.0,1.0,3.0,9347.0,1988.0,7359.0,1.173,2201.0,46.0,1.091,0.213,Existing Customer,F,High School,Married,Unknown,Blue,2051,0.9999100000000001
2051,30.0,2.0,22.0,3.0,3.0,4.0,3143.0,1075.0,2068.0,0.643,2510.0,57.0,0.629,0.342,Existing Customer,M,College,Divorced,$40K - $60K,Blue,2052,0.9995
2052,46.0,4.0,39.0,3.0,3.0,1.0,5106.0,1539.0,3567.0,0.907,3784.0,74.0,0.609,0.301,Existing Customer,M,Doctorate,Married,$80K - $120K,Blue,2053,0.99984
2053,39.0,2.0,31.0,6.0,3.0,2.0,9871.0,1061.0,8810.0,0.545,1683.0,34.0,0.478,0.107,Existing Customer,M,College,Married,$60K - $80K,Blue,2054,0.9998299999999999
2054,53.0,1.0,43.0,4.0,4.0,2.0,1525.0,1411.0,114.0,0.66,1911.0,47.0,0.958,0.925,Existing Customer,F,College,Married,$40K - $60K,Blue,2055,0.9998
2055,34.0,1.0,36.0,6.0,2.0,1.0,19630.0,1251.0,18379.0,1.399,2286.0,39.0,0.696,0.064,Existing Customer,M,Uneducated,Married,$120K +,Blue,2056,0.9999299999999999
2056,54.0,0.0,36.0,4.0,3.0,1.0,12547.0,1378.0,11169.0,1.12,3360.0,56.0,0.75,0.11,Existing Customer,F,Graduate,Divorced,Less than $40K,Silver,2057,0.99992
2057,54.0,3.0,36.0,4.0,1.0,3.0,17686.0,0.0,17686.0,0.733,2047.0,46.0,0.5329999999999999,0.0,Existing Customer,M,High School,Single,$80K - $120K,Blue,2058,0.9999100000000001
2058,39.0,2.0,28.0,6.0,3.0,5.0,3257.0,2517.0,740.0,0.539,1534.0,35.0,0.591,0.773,Existing Customer,M,Uneducated,Married,$60K - $80K,Blue,2059,0.99908
2059,36.0,3.0,28.0,4.0,3.0,2.0,4824.0,2517.0,2307.0,0.838,1516.0,32.0,0.391,0.522,Existing Customer,F,Graduate,Married,Less than $40K,Blue,2060,0.9998100000000001
2060,38.0,3.0,32.0,6.0,6.0,2.0,8603.0,1046.0,7557.0,0.826,1758.0,40.0,0.7390000000000001,0.122,Existing Customer,M,High School,Married,$40K - $60K,Blue,2061,0.9998600000000001
2061,45.0,4.0,36.0,6.0,1.0,1.0,11498.0,1577.0,9921.0,0.7559999999999999,4014.0,70.0,0.489,0.13699999999999998,Existing Customer,M,Unknown,Married,$60K - $80K,Blue,2062,0.9999600000000001
2062,28.0,0.0,23.0,5.0,1.0,3.0,3818.0,584.0,3234.0,0.7,2947.0,87.0,0.706,0.153,Existing Customer,F,Graduate,Divorced,Less than $40K,Blue,2063,0.99992
2063,37.0,1.0,36.0,6.0,2.0,2.0,16594.0,1931.0,14663.0,0.7020000000000001,2134.0,47.0,0.8079999999999999,0.11599999999999999,Existing Customer,F,High School,Single,Unknown,Blue,2064,0.9999
2064,57.0,0.0,48.0,4.0,2.0,2.0,5387.0,2047.0,3340.0,0.579,1546.0,36.0,0.5,0.38,Existing Customer,M,Graduate,Married,$40K - $60K,Blue,2065,0.9999
2065,48.0,4.0,36.0,5.0,1.0,1.0,2930.0,773.0,2157.0,0.6609999999999999,1545.0,21.0,0.909,0.264,Existing Customer,F,Graduate,Married,Less than $40K,Blue,2066,0.99997
2066,33.0,0.0,36.0,6.0,1.0,1.0,10023.0,504.0,9519.0,0.9420000000000001,2878.0,65.0,0.625,0.05,Existing Customer,M,Unknown,Single,$40K - $60K,Blue,2067,0.99997
2067,38.0,1.0,25.0,6.0,2.0,3.0,9303.0,1599.0,7704.0,1.4080000000000001,2261.0,37.0,0.542,0.172,Existing Customer,M,Uneducated,Married,$60K - $80K,Blue,2068,0.99982
2068,36.0,3.0,36.0,4.0,2.0,2.0,2956.0,2411.0,545.0,0.971,1896.0,31.0,0.8240000000000001,0.816,Existing Customer,M,Unknown,Married,$60K - $80K,Blue,2069,0.99987
2069,37.0,2.0,30.0,4.0,1.0,2.0,2218.0,1266.0,952.0,0.7090000000000001,1941.0,58.0,0.568,0.5710000000000001,Existing Customer,M,High School,Married,$60K - $80K,Blue,2070,0.99995
2070,36.0,1.0,26.0,6.0,2.0,1.0,9959.0,0.0,9959.0,0.57,2021.0,41.0,0.7829999999999999,0.0,Existing Customer,M,Unknown,Married,$80K - $120K,Blue,2071,0.9999299999999999
2071,54.0,3.0,49.0,5.0,3.0,2.0,5335.0,1373.0,3962.0,0.5579999999999999,1435.0,29.0,0.611,0.257,Existing Customer,F,Uneducated,Married,$40K - $60K,Blue,2072,0.9998100000000001
2072,52.0,1.0,43.0,3.0,3.0,2.0,7187.0,2014.0,5173.0,0.649,1159.0,26.0,0.733,0.28,Existing Customer,M,Graduate,Married,$60K - $80K,Blue,2073,0.9998299999999999
2073,53.0,1.0,39.0,5.0,2.0,4.0,2590.0,1564.0,1026.0,0.386,1188.0,40.0,0.6,0.604,Existing Customer,F,Graduate,Married,Less than $40K,Blue,2074,0.99969
2074,27.0,1.0,19.0,4.0,1.0,3.0,4255.0,1748.0,2507.0,0.516,2236.0,57.0,0.541,0.41100000000000003,Existing Customer,F,High School,Single,Less than $40K,Blue,2075,0.99992
2075,32.0,0.0,26.0,6.0,2.0,3.0,2778.0,2312.0,466.0,0.727,1680.0,33.0,1.062,0.8320000000000001,Existing Customer,F,High School,Married,Less than $40K,Blue,2076,0.99984
2076,57.0,4.0,51.0,4.0,3.0,1.0,10711.0,1970.0,8741.0,0.71,1180.0,29.0,1.4169999999999998,0.184,Existing Customer,M,Graduate,Married,$120K +,Blue,2077,0.99989
2077,58.0,2.0,46.0,2.0,3.0,4.0,16163.0,0.0,16163.0,0.542,2171.0,48.0,0.778,0.0,Attrited Customer,M,Uneducated,Single,$120K +,Blue,2078,0.00188031
2078,54.0,2.0,45.0,6.0,1.0,1.0,2513.0,1126.0,1387.0,0.324,1454.0,30.0,0.25,0.44799999999999995,Existing Customer,F,High School,Married,Less than $40K,Blue,2079,0.99997
2079,45.0,3.0,37.0,4.0,1.0,1.0,3291.0,1607.0,1684.0,1.26,1984.0,38.0,0.652,0.488,Existing Customer,M,Graduate,Divorced,$60K - $80K,Blue,2080,0.99997
2080,36.0,2.0,25.0,5.0,2.0,4.0,8917.0,1091.0,7826.0,1.1520000000000001,3327.0,80.0,0.86,0.122,Existing Customer,F,Post-Graduate,Divorced,Less than $40K,Blue,2081,0.9996200000000001
2081,39.0,2.0,29.0,3.0,5.0,2.0,4955.0,1157.0,3798.0,0.8959999999999999,1824.0,38.0,0.727,0.23399999999999999,Existing Customer,F,Graduate,Married,$40K - $60K,Blue,2082,0.9998
2082,39.0,1.0,30.0,6.0,1.0,2.0,2909.0,1274.0,1635.0,0.593,1532.0,26.0,0.3,0.43799999999999994,Existing Customer,F,Graduate,Married,$40K - $60K,Blue,2083,0.99995
2083,34.0,3.0,21.0,6.0,4.0,3.0,34516.0,2517.0,31999.0,0.7909999999999999,2901.0,75.0,0.9229999999999999,0.073,Existing Customer,M,High School,Single,$80K - $120K,Silver,2084,0.9996700000000001
2084,54.0,2.0,43.0,5.0,1.0,1.0,1438.3,0.0,1438.3,0.531,1707.0,41.0,0.7829999999999999,0.0,Existing Customer,F,Uneducated,Married,$40K - $60K,Blue,2085,0.99997
2085,54.0,2.0,49.0,3.0,1.0,4.0,14015.0,2065.0,11950.0,0.7040000000000001,1903.0,49.0,0.633,0.147,Existing Customer,M,High School,Married,$80K - $120K,Blue,2086,0.99985
2086,36.0,2.0,28.0,6.0,2.0,2.0,2540.0,1402.0,1138.0,1.127,2384.0,61.0,0.794,0.552,Existing Customer,M,Graduate,Married,$60K - $80K,Blue,2087,0.99989
2087,37.0,2.0,24.0,4.0,2.0,2.0,3497.0,1665.0,1832.0,0.627,2337.0,61.0,0.564,0.47600000000000003,Existing Customer,M,High School,Divorced,$120K +,Blue,2088,0.99989
2088,27.0,0.0,15.0,4.0,3.0,4.0,3682.0,0.0,3682.0,0.685,1826.0,35.0,0.75,0.0,Existing Customer,M,Uneducated,Married,$40K - $60K,Blue,2089,0.99954
2089,55.0,4.0,41.0,6.0,2.0,1.0,4430.0,1543.0,2887.0,0.752,3395.0,70.0,0.628,0.348,Existing Customer,F,Graduate,Single,Less than $40K,Blue,2090,0.9999299999999999
2090,26.0,0.0,16.0,5.0,3.0,2.0,3877.0,0.0,3877.0,0.773,2473.0,33.0,0.833,0.0,Existing Customer,M,Unknown,Single,Unknown,Blue,2091,0.9998299999999999
2091,56.0,1.0,36.0,3.0,2.0,3.0,15124.0,1974.0,13150.0,0.826,1850.0,44.0,0.5710000000000001,0.131,Existing Customer,M,Graduate,Married,$60K - $80K,Blue,2092,0.99982
2092,58.0,2.0,53.0,5.0,3.0,1.0,7712.0,962.0,6750.0,0.418,1574.0,34.0,0.062,0.125,Existing Customer,F,Graduate,Married,Less than $40K,Blue,2093,0.99989
2093,42.0,2.0,34.0,5.0,2.0,2.0,19373.0,1142.0,18231.0,0.655,1792.0,48.0,0.455,0.059000000000000004,Existing Customer,F,Graduate,Unknown,Unknown,Blue,2094,0.99989
2094,30.0,1.0,13.0,3.0,3.0,3.0,21590.0,2517.0,19073.0,0.813,2567.0,70.0,0.795,0.11699999999999999,Existing Customer,M,College,Single,Unknown,Blue,2095,0.99972
2095,38.0,1.0,32.0,4.0,2.0,1.0,3657.0,1687.0,1970.0,1.357,2758.0,55.0,0.833,0.461,Existing Customer,M,High School,Married,$60K - $80K,Blue,2096,0.9999399999999999
2096,47.0,2.0,35.0,3.0,1.0,4.0,32444.0,1843.0,30601.0,1.127,3725.0,60.0,0.622,0.057,Existing Customer,F,Uneducated,Divorced,Unknown,Silver,2097,0.99985
2097,33.0,1.0,24.0,5.0,1.0,2.0,5830.0,1665.0,4165.0,0.684,2263.0,60.0,0.7140000000000001,0.28600000000000003,Existing Customer,F,Graduate,Single,$40K - $60K,Blue,2098,0.99995
2098,54.0,2.0,47.0,3.0,4.0,3.0,1438.3,0.0,1438.3,1.053,1154.0,22.0,0.375,0.0,Attrited Customer,F,Post-Graduate,Married,Less than $40K,Blue,2099,0.00231842
2099,65.0,1.0,55.0,5.0,2.0,4.0,6463.0,1660.0,4803.0,0.995,2336.0,49.0,1.722,0.257,Existing Customer,F,Graduate,Single,Unknown,Blue,2100,0.99969
2100,33.0,2.0,23.0,4.0,2.0,1.0,2400.0,0.0,2400.0,1.064,2677.0,70.0,0.892,0.0,Existing Customer,M,High School,Single,$60K - $80K,Blue,2101,0.9999299999999999
2101,44.0,1.0,39.0,5.0,2.0,4.0,2311.0,1830.0,481.0,1.2890000000000001,1701.0,33.0,1.357,0.792,Existing Customer,F,Doctorate,Divorced,Less than $40K,Blue,2102,0.99956
2102,57.0,3.0,48.0,4.0,2.0,2.0,3585.0,1244.0,2341.0,0.507,1344.0,37.0,0.85,0.34700000000000003,Existing Customer,F,Unknown,Married,$40K - $60K,Blue,2103,0.99987
2103,34.0,3.0,25.0,6.0,3.0,2.0,9131.0,916.0,8215.0,0.863,1893.0,36.0,0.565,0.1,Existing Customer,M,Uneducated,Married,$80K - $120K,Blue,2104,0.9998100000000001
2104,63.0,0.0,56.0,3.0,6.0,4.0,1438.3,0.0,1438.3,0.8640000000000001,3630.0,71.0,0.578,0.0,Existing Customer,F,Uneducated,Single,$40K - $60K,Blue,2105,0.99964
2105,37.0,3.0,31.0,5.0,1.0,3.0,1438.3,0.0,1438.3,0.79,2075.0,66.0,0.6920000000000001,0.0,Existing Customer,F,High School,Single,Less than $40K,Blue,2106,0.9999100000000001
2106,39.0,2.0,36.0,6.0,3.0,2.0,5471.0,2056.0,3415.0,0.465,1992.0,46.0,0.7040000000000001,0.376,Existing Customer,M,Post-Graduate,Married,$60K - $80K,Blue,2107,0.99979
2107,39.0,2.0,34.0,6.0,3.0,3.0,8823.0,1541.0,7282.0,1.06,1961.0,32.0,1.0,0.175,Existing Customer,M,High School,Married,$80K - $120K,Blue,2108,0.99971
2108,55.0,1.0,44.0,6.0,2.0,4.0,2173.0,1520.0,653.0,0.652,1485.0,26.0,0.529,0.6990000000000001,Existing Customer,M,Graduate,Married,$60K - $80K,Blue,2109,0.99969
2109,37.0,2.0,25.0,3.0,3.0,0.0,5616.0,0.0,5616.0,0.995,1564.0,31.0,0.47600000000000003,0.0,Attrited Customer,M,Graduate,Single,$120K +,Blue,2110,0.01485
2110,57.0,1.0,51.0,5.0,2.0,2.0,8571.0,1616.0,6955.0,0.6,1397.0,28.0,0.647,0.18899999999999997,Existing Customer,M,Doctorate,Married,$80K - $120K,Blue,2111,0.99985
2111,45.0,2.0,36.0,6.0,6.0,3.0,2803.0,0.0,2803.0,0.565,3347.0,71.0,0.732,0.0,Existing Customer,F,Graduate,Divorced,Less than $40K,Blue,2112,0.99976
2112,53.0,4.0,36.0,3.0,2.0,2.0,3924.0,2517.0,1407.0,0.511,1417.0,30.0,0.667,0.6409999999999999,Existing Customer,M,Graduate,Married,$80K - $120K,Blue,2113,0.9998799999999999
2113,37.0,2.0,23.0,6.0,1.0,2.0,5663.0,1149.0,4514.0,0.767,2553.0,61.0,0.794,0.203,Existing Customer,M,Graduate,Single,$60K - $80K,Blue,2114,0.9999399999999999
2114,60.0,0.0,49.0,3.0,1.0,2.0,3955.0,2000.0,1955.0,0.425,1560.0,43.0,0.483,0.506,Existing Customer,F,Uneducated,Married,Less than $40K,Blue,2115,0.99995
2115,29.0,0.0,23.0,5.0,3.0,4.0,7997.0,0.0,7997.0,0.935,2208.0,56.0,0.8059999999999999,0.0,Existing Customer,F,Uneducated,Single,Less than $40K,Blue,2116,0.99954
2116,56.0,4.0,36.0,4.0,1.0,5.0,3652.0,1351.0,2301.0,0.836,1561.0,39.0,0.625,0.37,Existing Customer,F,Uneducated,Married,Less than $40K,Blue,2117,0.99971
2117,37.0,2.0,27.0,4.0,2.0,1.0,12702.0,2008.0,10694.0,0.51,1992.0,40.0,0.667,0.158,Existing Customer,M,Graduate,Married,$80K - $120K,Blue,2118,0.9999299999999999
2118,43.0,1.0,23.0,4.0,3.0,2.0,7189.0,1550.0,5639.0,0.5379999999999999,1935.0,52.0,0.368,0.21600000000000003,Existing Customer,M,High School,Married,$60K - $80K,Blue,2119,0.99984
2119,58.0,1.0,42.0,4.0,3.0,1.0,12421.0,2517.0,9904.0,0.73,1913.0,49.0,0.69,0.203,Existing Customer,M,Graduate,Married,$80K - $120K,Blue,2120,0.9999
2120,29.0,0.0,17.0,3.0,2.0,4.0,2585.0,2008.0,577.0,1.266,3519.0,73.0,0.622,0.777,Existing Customer,F,Post-Graduate,Divorced,Less than $40K,Blue,2121,0.9996700000000001
2121,38.0,2.0,29.0,4.0,1.0,2.0,2818.0,1656.0,1162.0,1.4040000000000001,2916.0,45.0,0.9570000000000001,0.588,Existing Customer,M,High School,Married,$120K +,Blue,2122,0.99995
2122,65.0,1.0,36.0,3.0,4.0,4.0,2351.0,0.0,2351.0,0.8809999999999999,1593.0,35.0,0.591,0.0,Attrited Customer,M,Unknown,Single,Less than $40K,Blue,2123,0.001551
2123,62.0,1.0,49.0,4.0,2.0,2.0,3143.0,2517.0,626.0,0.625,1323.0,25.0,0.9229999999999999,0.8009999999999999,Existing Customer,F,Graduate,Married,Less than $40K,Blue,2124,0.99989
2124,53.0,1.0,42.0,5.0,5.0,4.0,6514.0,978.0,5536.0,0.843,3084.0,63.0,0.6579999999999999,0.15,Existing Customer,M,Graduate,Unknown,$80K - $120K,Blue,2125,0.99946
2125,26.0,0.0,17.0,5.0,3.0,3.0,3119.0,1328.0,1791.0,0.722,2740.0,62.0,0.512,0.426,Existing Customer,F,Graduate,Single,$40K - $60K,Blue,2126,0.99974
2126,46.0,3.0,39.0,1.0,0.0,4.0,13092.0,1962.0,11130.0,0.6859999999999999,936.0,25.0,0.25,0.15,Attrited Customer,F,High School,Single,Less than $40K,Silver,2127,0.01841
2127,51.0,1.0,44.0,4.0,2.0,1.0,1438.3,0.0,1438.3,0.8029999999999999,2207.0,68.0,0.511,0.0,Existing Customer,F,College,Married,$40K - $60K,Blue,2128,0.9999399999999999
2128,39.0,2.0,34.0,4.0,2.0,4.0,3702.0,1118.0,2584.0,1.04,2585.0,64.0,0.778,0.302,Existing Customer,M,Uneducated,Married,Less than $40K,Blue,2129,0.99966
2129,51.0,1.0,36.0,3.0,2.0,3.0,9095.0,2517.0,6578.0,0.37,1347.0,27.0,0.42100000000000004,0.27699999999999997,Existing Customer,F,High School,Married,Unknown,Blue,2130,0.9998299999999999
2130,59.0,2.0,50.0,6.0,3.0,2.0,2701.0,1572.0,1129.0,0.475,1469.0,36.0,0.5,0.5820000000000001,Existing Customer,M,High School,Married,$40K - $60K,Blue,2131,0.9998299999999999
2131,56.0,3.0,45.0,6.0,2.0,4.0,1813.0,1387.0,426.0,0.406,1468.0,32.0,0.231,0.765,Existing Customer,M,Unknown,Married,$40K - $60K,Blue,2132,0.9996299999999999
2132,56.0,2.0,36.0,3.0,3.0,2.0,5335.0,996.0,4339.0,0.469,1454.0,43.0,0.433,0.187,Existing Customer,F,Graduate,Married,Unknown,Blue,2133,0.99982
2133,31.0,1.0,20.0,6.0,2.0,5.0,2469.0,1695.0,774.0,0.8420000000000001,1615.0,36.0,0.33299999999999996,0.687,Existing Customer,M,Graduate,Married,$40K - $60K,Blue,2134,0.9994700000000001
2134,37.0,0.0,36.0,3.0,1.0,5.0,3091.0,0.0,3091.0,0.665,2572.0,65.0,0.5479999999999999,0.0,Existing Customer,M,High School,Divorced,$40K - $60K,Blue,2135,0.99977
2135,36.0,2.0,32.0,3.0,5.0,2.0,2683.0,1533.0,1150.0,0.821,2373.0,73.0,0.659,0.5710000000000001,Existing Customer,M,High School,Single,$40K - $60K,Blue,2136,0.9998
2136,26.0,1.0,15.0,3.0,4.0,3.0,5464.0,0.0,5464.0,0.7,2473.0,46.0,0.484,0.0,Existing Customer,F,Unknown,Single,Unknown,Blue,2137,0.9996200000000001
2137,61.0,0.0,53.0,4.0,1.0,2.0,2942.0,2022.0,920.0,0.537,1479.0,28.0,0.217,0.687,Existing Customer,F,Graduate,Married,Less than $40K,Blue,2138,0.99995
2138,26.0,0.0,36.0,6.0,3.0,3.0,2735.0,1348.0,1387.0,0.805,2441.0,58.0,0.45,0.493,Existing Customer,M,High School,Single,Less than $40K,Blue,2139,0.99975
2139,35.0,2.0,36.0,5.0,2.0,4.0,15279.0,1496.0,13783.0,0.997,2079.0,57.0,0.425,0.098,Existing Customer,M,College,Married,$80K - $120K,Blue,2140,0.9996799999999999
2140,53.0,3.0,43.0,4.0,2.0,5.0,14938.0,1155.0,13783.0,0.995,2248.0,51.0,0.645,0.077,Existing Customer,M,College,Married,$120K +,Blue,2141,0.9994299999999999
2141,59.0,2.0,42.0,3.0,3.0,5.0,4328.0,670.0,3658.0,0.396,1580.0,54.0,0.5429999999999999,0.155,Existing Customer,M,High School,Married,Less than $40K,Blue,2142,0.99913
2142,37.0,1.0,24.0,4.0,4.0,4.0,34516.0,934.0,33582.0,0.6809999999999999,1768.0,52.0,0.5760000000000001,0.027000000000000003,Existing Customer,M,Graduate,Single,$80K - $120K,Blue,2143,0.99941
2143,38.0,3.0,26.0,5.0,4.0,2.0,5824.0,1542.0,4282.0,0.8270000000000001,1801.0,44.0,0.5710000000000001,0.265,Existing Customer,M,High School,Married,$60K - $80K,Blue,2144,0.9997799999999999
2144,56.0,5.0,48.0,4.0,2.0,2.0,11281.0,2118.0,9163.0,0.534,1255.0,30.0,0.304,0.188,Existing Customer,F,Doctorate,Married,Unknown,Blue,2145,0.9998299999999999
2145,37.0,2.0,36.0,5.0,3.0,5.0,7959.0,998.0,6961.0,0.773,1855.0,29.0,0.318,0.125,Existing Customer,M,Uneducated,Married,$60K - $80K,Blue,2146,0.99908
2146,33.0,1.0,21.0,4.0,1.0,3.0,4459.0,1899.0,2560.0,1.349,2502.0,48.0,1.0,0.426,Existing Customer,M,Graduate,Married,$120K +,Blue,2147,0.9999100000000001
2147,38.0,2.0,24.0,4.0,1.0,5.0,17162.0,773.0,16389.0,1.238,2457.0,54.0,1.0,0.045,Existing Customer,M,College,Married,$80K - $120K,Blue,2148,0.9997299999999999
2148,56.0,1.0,50.0,4.0,3.0,5.0,16254.0,1518.0,14736.0,1.256,2502.0,55.0,0.5710000000000001,0.09300000000000001,Existing Customer,M,Uneducated,Married,$120K +,Blue,2149,0.9991399999999999
2149,59.0,0.0,47.0,5.0,1.0,2.0,3278.0,1306.0,1972.0,0.39899999999999997,1374.0,32.0,0.391,0.39799999999999996,Existing Customer,M,High School,Married,$80K - $120K,Blue,2150,0.99995
2150,30.0,1.0,17.0,5.0,1.0,2.0,7173.0,1227.0,5946.0,0.6459999999999999,1793.0,33.0,0.737,0.171,Existing Customer,M,Post-Graduate,Married,Less than $40K,Blue,2151,0.9999399999999999
2151,56.0,2.0,36.0,5.0,2.0,3.0,3295.0,2002.0,1293.0,0.599,1191.0,34.0,0.545,0.608,Existing Customer,M,High School,Married,$40K - $60K,Blue,2152,0.9998100000000001
2152,33.0,2.0,15.0,4.0,2.0,2.0,25033.0,2300.0,22733.0,0.716,2529.0,71.0,0.578,0.092,Existing Customer,M,Unknown,Single,$120K +,Blue,2153,0.99987
2153,31.0,0.0,24.0,6.0,2.0,2.0,4232.0,2092.0,2140.0,0.604,2565.0,69.0,0.865,0.494,Existing Customer,M,Graduate,Divorced,$60K - $80K,Blue,2154,0.9999
2154,26.0,1.0,36.0,3.0,4.0,3.0,2703.0,1256.0,1447.0,0.9490000000000001,2111.0,29.0,0.706,0.465,Existing Customer,M,College,Single,$40K - $60K,Blue,2155,0.9996700000000001
2155,29.0,1.0,18.0,4.0,1.0,4.0,2710.0,629.0,2081.0,0.7709999999999999,1718.0,37.0,0.762,0.23199999999999998,Existing Customer,M,Graduate,Married,Less than $40K,Blue,2156,0.99985
2156,53.0,2.0,42.0,6.0,1.0,5.0,2322.0,1284.0,1038.0,0.6729999999999999,1573.0,27.0,0.929,0.5529999999999999,Existing Customer,F,Uneducated,Married,Less than $40K,Blue,2157,0.99972
